Clapeyron Estimator
[method=vle_p]
x_co2,out_p
0.1825,1160000
0.298,2050000
0.4143,3070000
0.5214,4060000
0.6238,5030000
0.7224,6050000
0.7981,7050000
0.8791,8050000
0.9755,8670000
