Clapeyron Estimator
[method=solution_density]
m,out_rho
0.02966,1001.264
0.06519,1002.818
0.1007,1004.52
0.1519,1006.826
0.2039,1009.142
0.2524,1011.312
0.3016,1013.5
0.3506,1015.667
