Clapeyron Estimator
[method=solution_density]
m,out_rho
0.0312,1000.757
0.04287,1001.037
0.04502,1001.078
0.05219,1001.264
0.06061,1001.464
0.06112,1001.488
0.07032,1001.716
0.07634,1001.832
0.0805,1001.958
0.08103,1001.99
0.08624,1002.085
