Clapeyron Estimator
[method=vle_y]
x_co2,out_y
0.0881,0.9939
0.1526,0.9954
0.1904,0.996
0.2571,0.9963
0.3342,0.9963
0.4619,0.996
0.6111,0.9951
0.8453,0.9921
0.9183,0.992
