Clapeyron Estimator
[method=vle]
x_co2,out_p
0.25,3030000
0.52,5620000
0.678,6850000
0.799,7580000
0.831,7680000
0.846,7860000
0.863,8100000
0.902,8220000
0.923,8300000
0.942,8440000
0.96,8650000
0.979,8720000
0.983,8820000
0.991,8840000
