Clapeyron Estimator
[method=my_liquid_density]
T,out_rho
293.15,1049.1
303.15,1039.2
313.15,1028.4
323.15,1017.5
333.15,1006
343.15,994.8
353.15,983.5
363.15,971.8
373.15,959.9
383.15,948.3
393.15,936.2
403.15,923.5
413.15,909.1
423.15,896.3
433.15,882.9
443.15,869.4
453.15,855.5
463.15,841.3
473.15,826.5
483.15,810.9
493.15,794.1
503.15,776.4
513.15,757.1
523.15,736.4
533.15,713.6
543.15,690
553.15,662.9
563.15,633.4
573.15,595
583.15,542.3
593.15,461.5
594.75,350.6
