Clapeyron Estimator
[method=my_liquid_density]
T,out_rho
273.15,937.1
293.14,920.9
313.13,904.1
333.12,887.6
353.12,870.4
373.12,853.7
393.13,836.7
413.13,819.1
433.14,801.1
453.14,782.4
473.15,763.4
493.16,743.8
513.17,723
533.17,701.1
553.18,674.4
