Clapeyron Estimator
[method=my_saturation_p]
T,out_p
380.45,13198.68
381.55,13731.96
382.95,14678.532
383.35,14838.516
387.25,17478.252
388.75,18544.812
391.45,20904.576
392.05,21451.188
395.95,25224.144
396.35,25357.464
402.65,32396.76
404.65,34863.18
407.65,38876.112
410.05,42462.42
