Clapeyron Estimator
[method=my_liquid_density]
T,out_rho
287.15,963.8
293.15,957.67
297.85,953.4
298.15,952.73
305.55,945.7
313.95,937.3
321.15,930.2
331.95,919.8
340.55,911.3
