Clapeyron Estimator
[method=my_saturation_p]
T,out_p
352.55,9919.008
353.15,10198.98
353.45,10358.964
356.65,12052.128
358.95,13265.34
359.15,13398.66
364.65,16838.316
368.35,19744.692
368.75,20131.32
372.05,23144.352
372.65,23557.644
373.95,26237.376
375.45,26717.328
378.55,30210.312
381.55,33276.672
383.95,36463.02
386.25,39716.028
388.75,43488.984
390.75,46688.664
392.55,49848.348
392.65,50008.332
