Clapeyron Estimator
[method=my_saturation_p]
T,out_p
396.05,14560
402.9,19590
412.87,29650
420.7,39720
427.18,49780
432.62,59860
437.44,69920
441.6,79990
445.16,90070
446.6,95100
447.92,100080

