Clapeyron Estimator
[method=vle]
x_co2,out_p
0.2,1400000
0.4002,2710000
0.5001,3240000
0.6002,3690000
0.6999,4090000
0.8,4450000
0.85,4650000
0.9,4960000
0.93,5210000
