Clapeyron Estimator
[method=vle_p]
x_co2,out_p
0.9325,3886500
0.8878,3736100
0.8436,3553600
0.6381,2946600
0.5227,2549100
0.3894,2067800
0.263,1559600
0.17,1118800
0.1274,906000
0.0889,703400
