Clapeyron Estimator
[method=vle_y]
x_co2,out_y
0.9325,0.9773
0.8878,0.9699
0.8436,0.9592
0.6381,0.9338
0.5227,0.9165
0.3894,0.8947
0.263,0.8586
0.17,0.8058
0.1274,0.7555
0.0889,0.6953
