Clapeyron Estimator
[method=my_saturation_p]
T,out_p
213.09,440.497
217.72,666.612
222.53,1001.118
227.86,1533.074
232.73,2217.951
237.74,3182.538
242.61,4442.701
281.62,38547.5
286.2,47358.77
290.82,57803.25
295.48,70108.9
300.18,84525.05
304.91,101325
309.68,120798.07
314.49,143268.2
319.34,169052.8
324.22,198530.3
329.15,232087.6
334.11,270111.1
