Clapeyron Estimator
[method=my_liquid_density]
T,out_rho
213.2,804.2
233.18,787.2
253.17,769.4
273.15,751.3
293.14,733
313.13,713.6
333.12,694.2
353.12,674.3
373.12,653.5
393.13,630.8
413.13,606.4
433.14,580.5
