Clapeyron Estimator
[method=my_saturation_p]
T,out_p
305.78,9560
308.57,11320
311.12,12900
314.02,15270
316.97,17780
319.62,20470
322.43,23350
324.89,26590
327.34,29750
330.35,34430
333.67,40340
339.26,51700
342.41,59250
345.84,68840
348.23,76090
350.75,83990
352.19,89190
355.41,101300
355.42,101220
