Clapeyron Estimator
[method=my_saturation_p]
T,out_p
280.73,662
281.05,675
284.48,878
287.91,1136
292.16,1542
292.26,1552
294.45,1812
298.09,2347
301.02,2847
303.9,3412
308.15,4467
311.6,5515
314.41,6551
