Clapeyron Estimator
[method=vle_y]
x_co2,out_y
0.1825,0.9736
0.298,0.9815
0.4143,0.9874
0.5214,0.9894
0.6238,0.9908
0.7224,0.9904
0.7981,0.9832
0.8791,0.9741
0.9755,0.9755
