Clapeyron Estimator
[method=chem_activity_coeff]
m,out_gamma_star_x
0.1006,0.9852
0.1485,0.9783
0.2507,0.9673
0.3011,0.9567
0.3509,0.9498
0.4024,0.9428
0.4493,0.9365
0.5123,0.9281
0.9976,0.8675
1.508,0.8104
1.959,0.7649
2.407,0.7237
3.299,0.652
