Clapeyron Estimator
[method=vle_y]
x_water,out_y
0.5055,0.0052
0.5636,0.0087
0.6138,0.0143
0.6522,0.0215
0.6906,0.0331
0.7179,0.0469
0.7433,0.0632
0.7654,0.0855
0.783,0.1097
0.7999,0.14
0.8175,0.1811
0.8331,0.2274
0.8479,0.2811
0.8601,0.334
0.8704,0.384
0.88,0.4346
0.9039,0.5733
0.912,0.6222
0.9191,0.6648
0.9255,0.7029
0.9305,0.7318
0.9346,0.755
0.9451,0.8114
0.9527,0.8494
0.9563,0.8656
0.9593,0.8952
0.963,0.912
0.9676,0.9368
