Clapeyron Estimator
[method=vle_p]
x_water,out_T
0.1,290.8394
0.2,293.7378
0.3,297.5362
0.4,302.9341
0.5,308.7318
0.6,315.1294
0.7,323.6269
0.8,333.124
0.9,343.524
0.95,354.323
