Clapeyron Estimator
[method=chem_activity_coeff]
m,out_gamma_star_x
0.1013,0.9901
0.1505,0.9853
0.2007,0.9805
0.2509,0.9758
0.3502,0.9666
0.4019,0.9619
0.4505,0.9576
0.5015,0.953
0.8996,0.9184
