Clapeyron Estimator
[method=solution_density]
m,out_rho
0.03163,997.957
0.0583,998.714
0.1044,999.965
0.1508,1001.29
0.2033,1002.753
0.2401,1003.715
0.2933,1005.212
0.3718,1007.344
0.4047,1008.224
