Clapeyron Estimator
[method=my_saturation_p]
T,out_p
375.21,14550
382.14,19580
391.77,29650
399.43,39720
405.44,49790
410.75,59850
415.51,69920
419.77,79990
423.36,90070
424.86,95100
426.16,100590
