Clapeyron Estimator
[method=my_liquid_density]
T,out_rho
273.15,968
293.14,948.5
313.13,928.5
333.12,908.6
353.12,888.6
373.12,868
393.13,847.2
413.13,826.6
433.14,804.4
453.14,780.8
473.15,756
493.16,728.3
513.17,698.2
