Clapeyron Estimator
[method=vle_p]
x_co2,out_p
0.0881,1410000
0.1526,2370000
0.1904,2920000
0.2571,3740000
0.3342,4600000
0.4619,5910000
0.6111,7090000
0.8453,7980000
0.9183,8190000
