Clapeyron Estimator
[method=vle_y]
x_co2,out_y
0.028,0.9786
0.0648,0.9825
0.1303,0.9863
0.1943,0.9887
0.2731,0.9917
0.4062,0.9923
0.4757,0.9907
0.5595,0.9896
