Clapeyron Estimator
[method=solubility]
T,out_x2
273.15,0.00310880788062209
278.15,0.00312382552889487
283.15,0.00315112918475723
288.15,0.0031934468956883
293.15,0.00325077483745191
298.15,0.00332174315384464
303.15,0.00340907490210851
308.15,0.00351548978004514
313.15,0.00363824794207507
318.15,0.00378279099411258
323.15,0.00395046292171086
328.15,0.00414260278279348
333.15,0.00436190589885156
338.15,0.00461378093453885
343.15,0.00489953874798753
348.15,0.00522455879707043
373.15,0.00768589600277662
