Clapeyron Estimator
[method=solubility]
T,out_x2
273.15,0.0329175939639011
278.15,0.0370530740377785
283.15,0.0415063133669408
288.15,0.0462461968003065
293.15,0.051285242472131
298.15,0.0565918941701953
303.15,0.0621140840580158
308.15,0.0678432313721626
313.15,0.0737294114244465
318.15,0.0797450500286729
323.15,0.0858034420164105
328.15,0.0919409596874042
333.15,0.097996617685572
338.15,0.103991314671638
343.15,0.109811757500058
348.15,0.115481954877491
373.15,0.138849075173004
